reference	start	end	pvalue
chr2:198257160-198257720	1	169	-7.05170776965
chr2:198257160-198257720	171	270	-4.17260814772
chr2:198257160-198257720	272	273	-0.0834521629545
chr2:198257160-198257720	275	332	-2.42011272568
chr2:198257160-198257720	335	340	-0.250356488863
chr2:198257160-198257720	342	346	-0.208630407386
chr2:198257160-198257720	348	368	-0.876247711022
chr2:198257160-198257720	370	374	-0.208630407386
chr2:198257160-198257720	376	397	-0.917973792499
chr2:198257160-198257720	399	405	-0.292082570341
chr2:198257160-198257720	407	409	-0.125178244432
chr2:198257160-198257720	411	470	-2.50356488863
chr2:198257160-198257720	472	505	-1.41868677023
chr2:198257887-198260804	1	55	-4.05012177391
chr2:198257887-198260804	57	113	-4.19739892932
chr2:198257887-198260804	115	196	-6.03836337201
chr2:198257887-198260804	198	246	-3.60829030766
chr2:198257887-198260804	248	288	-3.019181686
chr2:198257887-198260804	290	300	-0.810024354781
chr2:198257887-198260804	302	303	-0.147277155415
chr2:198257887-198260804	307	308	-0.147277155415
chr2:198257887-198260804	310	319	-0.736385777074
chr2:198257887-198260804	322	328	-0.515470043952
chr2:198257887-198260804	332	335	-0.29455431083
chr2:198257887-198260804	337	338	-0.147277155415
chr2:198257887-198260804	350	354	-0.368192888537
chr2:198257887-198260804	362	364	-0.220915733122
chr2:198257887-198260804	368	369	-0.147277155415
chr2:198257887-198260804	372	379	-0.589108621659
chr2:198257887-198260804	382	383	-0.147277155415
chr2:198257887-198260804	386	391	-0.441831466244
chr2:198257887-198260804	393	399	-0.515470043952
chr2:198257887-198260804	401	403	-0.220915733122
chr2:198257887-198260804	405	410	-0.441831466244
chr2:198257887-198260804	413	429	-1.25185582103
chr2:198257887-198260804	431	435	-0.368192888537
chr2:198257887-198260804	439	442	-0.29455431083
chr2:198257887-198260804	444	445	-0.147277155415
chr2:198257887-198260804	447	454	-0.589108621659
chr2:198257887-198260804	456	457	-0.147277155415
chr2:198257887-198260804	464	465	-0.147277155415
chr2:198257887-198260804	468	470	-0.220915733122
chr2:198257887-198260804	475	477	-0.220915733122
chr2:198257887-198260804	485	494	-0.736385777074
chr2:198257887-198260804	502	503	-0.147277155415
chr2:198257887-198260804	505	508	-0.29455431083
chr2:198257887-198260804	511	512	-0.147277155415
chr2:198257887-198260804	514	515	-0.147277155415
chr2:198257887-198260804	517	534	-1.32549439873
chr2:198257887-198260804	536	553	-1.32549439873
chr2:198257887-198260804	555	582	-2.06188017581
chr2:198257887-198260804	589	605	-1.25185582103
chr2:198257887-198260804	607	712	-7.80568923698
chr2:198257887-198260804	714	749	-2.65098879747
chr2:198257887-198260804	751	769	-1.39913297644
chr2:198257887-198260804	771	774	-0.29455431083
chr2:198257887-198260804	781	784	-0.29455431083
chr2:198257887-198260804	786	791	-0.441831466244
chr2:198257887-198260804	793	795	-0.220915733122
chr2:198257887-198260804	797	801	-0.368192888537
chr2:198257887-198260804	804	811	-0.589108621659
chr2:198257887-198260804	813	818	-0.441831466244
chr2:198257887-198260804	820	872	-3.90284461849
chr2:198257887-198260804	878	887	-0.736385777074
chr2:198257887-198260804	889	890	-0.147277155415
chr2:198257887-198260804	894	895	-0.147277155415
chr2:198257887-198260804	907	910	-0.29455431083
chr2:198257887-198260804	912	921	-0.736385777074
chr2:198257887-198260804	923	926	-0.29455431083
chr2:198257887-198260804	929	939	-0.810024354781
chr2:198257887-198260804	941	942	-0.147277155415
chr2:198257887-198260804	951	956	-0.441831466244
chr2:198257887-198260804	958	966	-0.662747199367
chr2:198257887-198260804	968	969	-0.147277155415
chr2:198257887-198260804	971	975	-0.368192888537
chr2:198257887-198260804	977	978	-0.147277155415
chr2:198257887-198260804	985	991	-0.515470043952
chr2:198257887-198260804	993	1056	-4.71286897327
chr2:198257887-198260804	1058	1123	-4.86014612869
chr2:198257887-198260804	1125	1177	-3.90284461849
chr2:198257887-198260804	1179	1450	-20.0296931364
chr2:198257887-198260804	1453	1458	-0.441831466244
chr2:198257887-198260804	1467	1473	-0.515470043952
chr2:198257887-198260804	1477	1481	-0.368192888537
chr2:198257887-198260804	1484	1495	-0.883662932489
chr2:198257887-198260804	1497	1499	-0.220915733122
chr2:198257887-198260804	1502	1505	-0.29455431083
chr2:198257887-198260804	1517	1519	-0.220915733122
chr2:198257887-198260804	1523	1586	-4.71286897327
chr2:198257887-198260804	1589	1591	-0.220915733122
chr2:198257887-198260804	1603	1605	-0.220915733122
chr2:198257887-198260804	1609	1611	-0.220915733122
chr2:198257887-198260804	1623	1626	-0.29455431083
chr2:198257887-198260804	1629	1630	-0.147277155415
chr2:198257887-198260804	1634	1649	-1.17821724332
chr2:198257887-198260804	1651	1655	-0.368192888537
chr2:198257887-198260804	1657	1670	-1.0309400879
chr2:198257887-198260804	1672	1681	-0.736385777074
chr2:198257887-198260804	1683	1696	-1.0309400879
chr2:198257887-198260804	1698	1724	-1.9882415981
chr2:198257887-198260804	1726	1794	-5.08106186181
chr2:198257887-198260804	1796	1952	-11.5612567001
chr2:198257887-198260804	1954	2009	-4.12376035161
chr2:198257887-198260804	2011	2012	-0.147277155415
chr2:198257887-198260804	2014	2222	-15.3904627408
chr2:198257887-198260804	2224	2297	-5.44925475035
chr2:198257887-198260804	2299	2383	-6.25927910513
chr2:198257887-198260804	2385	2441	-4.19739892932
chr2:198257887-198260804	2443	2461	-1.39913297644
chr2:198257887-198260804	2463	2595	-9.79393083508
chr2:198257887-198260804	2597	2690	-6.9220263045
chr2:198257887-198260804	2692	2809	-8.68935216947
chr2:198261027-198262733	1	984	-7.84462387344
chr2:198261027-198262733	986	1221	-1.88143418103
chr2:198261027-198262733	1223	1282	-0.478330723991
chr2:198261027-198262733	1284	1294	-0.0876939660649
chr2:198261027-198262733	1296	1352	-0.454414187791
chr2:198261027-198262733	1355	1356	-0.0159443574664
chr2:198261027-198262733	1358	1360	-0.0239165361995
chr2:198261027-198262733	1367	1369	-0.0239165361995
chr2:198261027-198262733	1371	1511	-1.12407720138
chr2:198262815-198263209	1	297	-3.06629107595
chr2:198263280-198264803	1	198	-1.94664493386
chr2:198263280-198264803	200	422	-2.19243343561
chr2:198263280-198264803	424	425	-0.01966308014
chr2:198263280-198264803	427	446	-0.1966308014
chr2:198263280-198264803	448	457	-0.0983154007
chr2:198263280-198264803	459	460	-0.01966308014
chr2:198263280-198264803	462	594	-1.30759482931
chr2:198263280-198264803	596	907	-3.06744050184
chr2:198263280-198264803	909	931	-0.22612542161
chr2:198263280-198264803	933	964	-0.31460928224
chr2:198263280-198264803	966	1155	-1.8679926133
chr2:198263280-198264803	1157	1223	-0.65871318469
chr2:198263280-198264803	1225	1436	-2.08428649484
chr2:198264865-198265000	1	34	-0.251851851852
chr2:198265133-198265463	1	54	-2.05715066256
chr2:198265133-198265463	56	121	-2.51429525424
chr2:198265133-198265463	123	125	-0.11428614792
chr2:198265133-198265463	127	192	-2.51429525424
chr2:198265635-198266148	1	141	-1.35360651464
chr2:198265635-198266148	143	249	-1.02720494373
chr2:198265635-198266148	251	388	-1.32480637603
chr2:198266829-198267304	1	27	-0.78685139266
chr2:198266829-198267304	29	114	-2.50626739884
chr2:198266829-198267304	116	134	-0.553710239279
chr2:198266829-198267304	136	183	-1.39884692028
