intron	target_id	gene	intron_extension
chr2:198283312-198283520	NM_012433	SF3B1	chr2:198283287-198283545
chr2:198266854-198267279	NM_012433	SF3B1	chr2:198266829-198267304
chr2:198264890-198264975	NM_012433	SF3B1	chr2:198264865-198265000
chr2:198261052-198262708	NM_012433	SF3B1	chr2:198261027-198262733
chr2:198270196-198272721	NM_012433	SF3B1	chr2:198270171-198272746
chr2:198283675-198285151	NM_001005526	SF3B1	chr2:198283650-198285176
chr2:198283675-198285151	NM_012433	SF3B1	chr2:198283650-198285176
chr2:198267759-198268308	NM_012433	SF3B1	chr2:198267734-198268333
chr2:198268488-198269799	NM_012433	SF3B1	chr2:198268463-198269824
chr2:198257185-198257695	NM_012433	SF3B1	chr2:198257160-198257720
chr2:198266612-198266708	NM_012433	SF3B1	chr2:198266587-198266733
chr2:198262840-198263184	NM_012433	SF3B1	chr2:198262815-198263209
chr2:198267550-198267672	NM_012433	SF3B1	chr2:198267525-198267697
chr2:198281635-198283232	NM_012433	SF3B1	chr2:198281610-198283257
chr2:198266249-198266465	NM_012433	SF3B1	chr2:198266224-198266490
chr2:198269901-198269998	NM_012433	SF3B1	chr2:198269876-198270023
chr2:198285266-198285752	NM_001005526	SF3B1	chr2:198285241-198285777
chr2:198285266-198285752	NM_012433	SF3B1	chr2:198285241-198285777
chr2:198257912-198260779	NM_012433	SF3B1	chr2:198257887-198260804
chr2:198272843-198273092	NM_012433	SF3B1	chr2:198272818-198273117
chr2:198265158-198265438	NM_012433	SF3B1	chr2:198265133-198265463
chr2:198288698-198299695	NM_001005526	SF3B1	chr2:198288673-198299720
chr2:198288698-198299695	NM_012433	SF3B1	chr2:198288673-198299720
chr2:198273305-198274493	NM_012433	SF3B1	chr2:198273280-198274518
chr2:198274731-198281464	NM_012433	SF3B1	chr2:198274706-198281489
chr2:198285857-198288531	NM_001005526	SF3B1	chr2:198285832-198288556
chr2:198285857-198288531	NM_012433	SF3B1	chr2:198285832-198288556
chr2:198265660-198266123	NM_012433	SF3B1	chr2:198265635-198266148
chr2:198263305-198264778	NM_012433	SF3B1	chr2:198263280-198264803
